SubmissionID,What is your age range?,How many cups of coffee do you consume per day?,Do you add any dairy or dairy alternative to your coffee?,What kind of dairy? (Whole milk),What kind of dairy? (Skim milk),What kind of dairy? (Half and half),What kind of dairy? (Coffee creamer),What kind of dairy? (Flavored creamer),What kind of dairy? (Oat milk),What kind of dairy? (Almond milk),What kind of dairy? (Soy milk),Do you add any sugar or sweetener to your coffee?,What kind of sugar or sweetener? (Granulated Sugar),What kind of sugar or sweetener? (Artificial Sweetener),What kind of sugar or sweetener? (Honey),What kind of sugar or sweetener? (Maple Syrup),What kind of sugar or sweetener? (Stevia),What kind of sugar or sweetener? (Agave Nectar),What kind of sugar or sweetener? (Brown Sugar),What kind of sugar or sweetener? (Raw Sugar),How do you brew your coffee? (Pour over),How do you brew your coffee? (French press),How do you brew your coffee? (Espresso),How do you brew your coffee? (Coffee brewing machine),How do you brew your coffee? (Pod/capsule machine),How do you brew your coffee? (Instant coffee),How do you brew your coffee? (Bean-to-cup machine),How do you brew your coffee? (Cold brew),How do you brew your coffee? (Coffee extract)
rlrejl,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl2Bgl,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
aBrLEb,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OAB2b7,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jBGby9,18-24,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WAlrbP,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
jB9jga,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AlbkDW,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1r2e7b,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ld5zz1,25-34,4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
vNxlql,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5dE4Ab,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMB9AM,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6dQl1k,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RzBAWd,45-54,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0Eo7O0,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zKWNxa,18-24,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J2kPNR,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WApWxv,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5dqNjo,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
XeBbpg,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NABaRj,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WApLda,35-44,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lNVBok,45-54,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8dpBBl,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAB78B,>65,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jB9j11,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LdMePG,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kYR2Dr,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
VZoGry,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6dQldA,18-24,< 1,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
KMBE2z,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AlbEzk,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAdWMA,25-34,> 4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
lNlG96,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bl4Jbo,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OAB6OM,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGbvpQ,35-44,3,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42N6Ak,18-24,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
V0Gaxg,18-24,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
7d9AW2,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ylqaq4,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dYQ6Jo,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
zKQ6W1,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EPbOJN,18-24,2,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
PA8Add,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GrYz2j,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZdRBP0,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QABQr7,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EPbOJX,45-54,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
bl4J62,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NA8oKO,45-54,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ld5b5O,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PABq2b,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
NABZBQ,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MA8bXl,18-24,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VZ16y6,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rlrZQo,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ16MJ,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZdRBRy,18-24,> 4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6dr2lO,45-54,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAdx5M,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0EjR2Q,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
xdNWMd,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DVvGkl,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
dY2yar,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d4ZRR,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jB9VQJ,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8djkWx,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DV010Z,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0EjWj6,,2,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24OkKb,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
OABNQM,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0EjW6B,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
YZVORq,35-44,4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
42NbXo,35-44,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
xdNWa5,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
NABZWj,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1rGVNl,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dY2yNV,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aBrMQW,>65,1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
g5Nl5P,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NABZv0,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
VZ16Mv,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J2k4Po,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1r2a1W,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g5NoBl,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24x6QL,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
g5Wqll,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
QABQ6p,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9d2Zp1,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZdPO2B,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GrBP8o,<18,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YZzA85,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J2kPqY,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ylqQJ6,55-64,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ16WM,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vNx9oQ,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
g5Nl9M,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ162v,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RzBNoP,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EPbRQ2,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6drjXo,55-64,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lNVdxp,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA8Ezl,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ylqaBg,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vNx9Vg,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WAlzbQ,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
zKWYR1,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bl4J4o,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZdPaNA,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jB9VB4,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pLP2zE,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EPbOgA,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jB9V84,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7d4xXA,45-54,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24OPPA,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dY2yKz,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6dQByN,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OA8787,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ16oa,45-54,4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
PABqqe,25-34,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
GrYR0k,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YZzA1B,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24x6ze,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OA8aLg,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
xdNe6r,18-24,< 1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
aBrWJv,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0EbpWj,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YZoXgd,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XeRdOY,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GroVAj,45-54,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BGLoze,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
zK0a8M,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
yl0Wkd,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
421Yyk,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0EbyNZ,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
vN069v,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1rbQLl,35-44,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J2VE7o,35-44,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZdGpJo,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5dlP0b,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
pL0p0B,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1rbav4,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
YZolB0,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GroPMQ,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
421lqd,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZdG7oB,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ9yLy,35-44,4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rl0J0M,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
OAjXOY,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WAeRVL,35-44,3,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
bl2xOZ,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ9Jzy,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PA26z0,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PA2690,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAjzjg,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dYZ62d,35-44,4,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0EbG0A,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMP6W8,35-44,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB2aL,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6d1XAe,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
xd0Z4G,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
lN0LKk,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eBNdrx,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
oA0dW5,25-34,< 1,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QAxB11,25-34,4,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7dJ9VA,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dYZLxV,35-44,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ9eEj,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ92pM,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
kY0o0j,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zK0VO1,35-44,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
g5QBpN,25-34,3,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
9d6ey1,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vN0R6X,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VZ9rRg,25-34,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7dJQOz,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8dJ9Xl,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
g5QBoJ,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dYZ7yV,,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RzZO7j,18-24,2,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVXQzb,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
rl07A5,18-24,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DVXQyq,45-54,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bl2bP2,25-34,1,0.0,,,,,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ9gJa,25-34,2,0.0,,,,,,,,,0.0,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
