continent,year,population
Oceania,1965,17617234
Oceania,1966,17986085
Oceania,1967,18332230
Oceania,1968,18670230
Oceania,1969,19033792
Oceania,1970,19494207
Oceania,1971,20036080
Oceania,1972,20494153
Oceania,1973,20866219
Oceania,1974,21228272
Oceania,1975,21555933
Oceania,1976,21842496
Oceania,1977,22114618
Oceania,1978,22383482
Oceania,1979,22653744
Oceania,1980,22954479
Oceania,1981,23307532
Oceania,1982,23690694
Oceania,1983,24064500
Oceania,1984,24421099
Oceania,1985,24777603
Oceania,1986,25149865
Oceania,1987,25544583
Oceania,1988,25956456
Oceania,1989,26377038
Oceania,1990,26839396
Oceania,1991,27315329
Oceania,1992,27746645
Oceania,1993,28154391
Oceania,1994,28573082
Oceania,1995,29025263
Oceania,1996,29498696
Oceania,1997,29964606
Oceania,1998,30420065
Oceania,1999,30880109
Oceania,2000,31352964
Oceania,2001,31847231
Oceania,2002,32366012
Oceania,2003,32894562
Oceania,2004,33419057
Oceania,2005,33956166
Oceania,2006,34540357
Oceania,2007,35190038
Oceania,2008,35890356
Oceania,2009,36593542
Oceania,2010,37254081
Oceania,2011,37890092
Oceania,2012,38550533
Oceania,2013,39233928
Oceania,2014,39918740
Oceania,2015,40615011
Oceania,2016,41347228
Oceania,2017,42093978
Oceania,2018,42815507
Oceania,2019,43504533
Oceania,2020,44079302
Oceania,2021,44558538
Oceania,2022,45049682
Oceania,2023,45563133
South America,-10000,1097843
South America,-9000,1340448
South America,-8000,1645183
South America,-7000,2029129
South America,-6000,2514289
South America,-5000,3129042
South America,-4000,3910056
South America,-3000,4904760
South America,-2000,6174707
South America,-1000,7846097
South America,0,10025970
South America,100,10716701
South America,200,11455034
South America,300,12244472
South America,400,13088805
South America,500,13992157
South America,600,14959018
South America,700,15994291
South America,800,17103345
South America,900,17953229
South America,1000,18808198
South America,1100,20766062
South America,1200,22724189
South America,1300,24687612
South America,1400,26651359
South America,1500,29863139
South America,1555,18121830
South America,1600,6380521
South America,1640,6141166
South America,1700,5901812
South America,1710,6080041
South America,1720,6275955
South America,1730,6493347
South America,1740,6736924
South America,1750,7012585
South America,1760,7327688
South America,1770,7691442
South America,1780,8115400
South America,1785,8281616
South America,1788,8447833
South America,1790,8614050
South America,1800,9277957
South America,1801,9317480
South America,1802,9360610
South America,1803,9407381
South America,1804,9457827
South America,1805,9511985
South America,1806,9569900
South America,1807,9631616
South America,1808,9697180
South America,1809,9766647
South America,1810,9862588
South America,1811,9958485
South America,1812,10064501
South America,1813,10180660
South America,1814,10300810
South America,1815,10425044
South America,1816,10553464
South America,1817,10686171
South America,1818,10823273
South America,1819,10970443
South America,1820,11127614
South America,1821,11294718
South America,1822,11471673
South America,1823,11658400
South America,1824,11849246
South America,1825,12044305
South America,1826,12243678
South America,1827,12447466
South America,1828,12655769
South America,1829,12875055
South America,1830,13105768
South America,1831,13348394
South America,1832,13603420
South America,1833,13871366
South America,1834,14146414
South America,1835,14428797
South America,1836,14718743
South America,1837,15016504
South America,1838,15322329
South America,1839,15631013
South America,1840,15942666
South America,1841,16257411
South America,1842,16575367
South America,1843,16896665
South America,1844,17226919
South America,1845,17566445
South America,1846,17915580
South America,1847,18274667
South America,1848,18644066
South America,1849,18973167
South America,1850,19261504
South America,1851,19515726
South America,1852,19728226
South America,1853,19898328
South America,1854,20076281
South America,1855,20262109
South America,1856,20455846
South America,1857,20657524
South America,1858,20867195
South America,1859,21084967
South America,1860,21310302
South America,1861,21542667
South America,1862,21781540
South America,1863,22026397
South America,1864,22276696
South America,1865,22532555
South America,1866,22794079
South America,1867,23061391
South America,1868,23334617
South America,1869,23625455
South America,1870,23934719
South America,1871,24263242
South America,1872,24611834
South America,1873,24981309
South America,1874,25360978
South America,1875,25750976
South America,1876,26151439
South America,1877,26562511
South America,1878,26984342
South America,1879,27434075
South America,1880,27912182
South America,1881,28419221
South America,1882,28955780
South America,1883,29522539
South America,1884,30103175
South America,1885,30698196
South America,1886,31308164
South America,1887,31933652
South America,1888,32575283
South America,1889,33227633
South America,1890,33890958
South America,1891,34565468
South America,1892,35251291
South America,1893,35948511
South America,1894,36663240
South America,1895,37395860
South America,1896,38146772
South America,1897,38916387
South America,1898,39705129
South America,1899,40509877
South America,1900,41330741
South America,1901,42167855
South America,1902,43021342
South America,1903,43891359
South America,1904,44781677
South America,1905,45692841
South America,1906,46625401
South America,1907,47579926
South America,1908,48557015
South America,1909,49545768
South America,1910,50545993
South America,1911,51557488
South America,1912,52579990
South America,1913,53613237
South America,1914,54668408
South America,1915,55745990
South America,1916,56846479
South America,1917,57970388
South America,1918,59102586
South America,1919,60264993
South America,1920,61458404
South America,1921,62683653
South America,1922,63941565
South America,1923,65233001
South America,1924,66552723
South America,1925,67901379
South America,1926,69279649
South America,1927,70688219
South America,1928,72127798
South America,1929,73565553
South America,1930,75000544
South America,1931,76431800
South America,1932,77858278
South America,1933,79278889
South America,1934,80726067
South America,1935,82200318
South America,1936,83702161
South America,1937,85232121
South America,1938,86790735
South America,1939,88464085
South America,1940,90256708
South America,1941,92173092
South America,1942,94218266
South America,1943,96397220
South America,1944,98629580
South America,1945,100916694
South America,1946,103259939
South America,1947,105660735
South America,1948,108120539
South America,1949,110738338
South America,1950,112973210
South America,1951,116032091
South America,1952,119207171
South America,1953,122485449
South America,1954,125865614
South America,1955,129351390
South America,1956,132949200
South America,1957,136660908
South America,1958,140478153
South America,1959,144408286
South America,1960,148441131
South America,1961,152563386
South America,1962,156774162
South America,1963,161065586
South America,1964,165413056
South America,1965,169787369
South America,1966,174174977
South America,1967,178570548
South America,1968,182977286
South America,1969,187410584
South America,1970,191855152
South America,1971,196342424
South America,1972,200916855
South America,1973,205568583
South America,1974,210289337
South America,1975,215072893
South America,1976,219943056
South America,1977,224941177
South America,1978,230063999
South America,1979,235280219
South America,1980,240599662
South America,1981,246004194
South America,1982,251463263
South America,1983,256993741
South America,1984,262567860
South America,1985,268127334
South America,1986,273653737
South America,1987,279159635
South America,1988,284663491
South America,1989,290157635
South America,1990,295639581
South America,1991,301035778
South America,1992,306386107
South America,1993,311712466
South America,1994,316983659
South America,1995,322239767
South America,1996,327454410
South America,1997,332642671
South America,1998,337868223
South America,1999,343039486
South America,2000,348018740
South America,2001,352811862
South America,2002,357458484
South America,2003,361970821
South America,2004,366372163
South America,2005,370696354
South America,2006,374925359
South America,2007,379035649
South America,2008,383025005
South America,2009,386904373
South America,2010,390701115
South America,2011,394477911
South America,2012,398255314
South America,2013,402022549
South America,2014,405812430
South America,2015,409619968
South America,2016,413395033
South America,2017,417045358
South America,2018,420440406
South America,2019,423548289
South America,2020,426213551
South America,2021,428331420
South America,2022,430492814
South America,2023,433024230
